Order_ID,Customer_ID,Age,Gender,Location,Product_Category,Brand,Price,Quantity,Discount_%,Discount_Value,Total_Amount,Payment_Method,Device_Type,Purchase_Date,Customer_Segment
5001,2001,63,Female,Chennai,Electronics,Samsung,53182.92,4,25,13295.73,159548.76,Card,Laptop - Mac,27-10-2025,High
5002,2002,20,Male,Delhi,Beauty,Apple,64597.55,4,10,6459.76,232551.16,UPI,Tablet - iPad,09-12-2025,High
5003,2003,46,Female,Mumbai,Electronics,Samsung,57328.05,5,40,22931.22,171984.15,COD,Laptop - Mac,20-04-2025,High
5004,2004,52,Male,Chennai,Home,Sony,42926.26,5,25,10731.56,160973.5,COD,Mobile - iOS,05-11-2025,High
5005,2005,56,Male,Hyderabad,Electronics,Samsung,66798.25,4,5,3339.91,253833.36,Card,Laptop - Windows,20-02-2025,High
5006,2006,35,Female,Pune,Home,Puma,75682.02,2,25,18920.5,113523.04,COD,Tablet - Android,20-10-2025,High
5007,2007,37,Female,Bangalore,Beauty,Samsung,74469.62,1,10,7446.96,67022.66,COD,Laptop - Windows,07-03-2025,High
5008,2008,60,Male,Delhi,Clothing,Sony,24373.86,5,40,9749.54,73121.6,UPI,Tablet - Android,28-03-2025,High
5009,2009,40,Female,Hyderabad,Beauty,Apple,30889.75,1,5,1544.49,29345.26,UPI,Tablet - iPad,18-02-2025,Medium
5010,2010,51,Female,Delhi,Electronics,Adidas,61827.27,5,5,3091.36,293679.55,Card,Tablet - Android,06-12-2025,High
5011,2011,50,Male,Chennai,Clothing,Boat,55802.18,5,15,8370.33,237159.25,COD,Tablet - iPad,08-10-2025,High
5012,2012,27,Male,Mumbai,Clothing,Apple,55608.28,3,0,0,166824.84,COD,Tablet - iPad,06-12-2025,High
5013,2013,50,Female,Delhi,Beauty,Apple,63334.77,3,40,25333.91,114002.58,COD,Tablet - Android,15-11-2025,High
5014,2014,64,Female,Mumbai,Home,Boat,56452.14,1,5,2822.61,53629.53,COD,Mobile - iOS,12-10-2025,High
5015,2015,50,Male,Mumbai,Sports,Zara,22155.14,5,5,1107.76,105236.9,COD,Laptop - Mac,31-05-2025,High
5016,2016,43,Female,Pune,Sports,Boat,45254.16,4,25,11313.54,135762.48,COD,Mobile - Android,26-02-2025,High
5017,2017,37,Female,Delhi,Sports,Apple,27279.85,2,40,10911.94,32735.82,COD,Laptop - Mac,10-06-2025,Medium
5018,2018,32,Male,Chennai,Clothing,Boat,24011.08,5,0,0,120055.4,Card,Tablet - iPad,14-07-2025,High
5019,2019,54,Female,Bangalore,Beauty,Sony,24930.47,3,5,1246.52,71051.85,UPI,Tablet - iPad,17-07-2025,High
5020,2020,50,Female,Hyderabad,Beauty,Sony,31960.67,2,20,6392.13,51137.08,Card,Laptop - Windows,03-01-2025,High
5021,2021,34,Male,Mumbai,Clothing,Samsung,33879.25,3,40,13551.7,60982.65,COD,Tablet - Android,20-04-2025,High
5022,2022,22,Female,Pune,Clothing,Samsung,23054.83,2,25,5763.71,34582.24,UPI,Laptop - Windows,25-04-2025,Medium
5023,2023,21,Female,Delhi,Electronics,Nike,51521.5,1,25,12880.38,38641.12,UPI,Laptop - Windows,30-06-2025,Medium
5024,2024,20,Female,Chennai,Home,Samsung,61583.26,4,5,3079.16,234016.4,COD,Laptop - Mac,25-11-2025,High
5025,2025,38,Male,Bangalore,Home,Puma,44592.39,5,20,8918.48,178369.55,COD,Mobile - Android,03-08-2025,High
5026,2026,57,Female,Mumbai,Home,Puma,52886.87,1,20,10577.37,42309.5,Card,Tablet - Android,02-05-2025,Medium
5027,2027,20,Male,Hyderabad,Beauty,Samsung,17339.27,5,25,4334.82,65022.25,COD,Mobile - Android,27-06-2025,High
5028,2028,38,Male,Delhi,Sports,Boat,55097.7,4,5,2754.88,209371.28,UPI,Tablet - iPad,29-11-2025,High
5029,2029,25,Female,Delhi,Sports,Samsung,79400.78,2,10,7940.08,142921.4,COD,Mobile - Android,28-07-2025,High
5030,2030,59,Male,Delhi,Sports,Puma,28187.74,1,25,7046.94,21140.8,COD,Mobile - iOS,22-09-2025,Medium
5031,2031,53,Male,Pune,Beauty,Nike,15880.83,2,30,4764.25,22233.16,COD,Laptop - Windows,15-11-2025,Medium
5032,2032,46,Female,Mumbai,Sports,Nike,23388.7,3,15,3508.3,59641.2,UPI,Mobile - Android,22-02-2025,High
5033,2033,56,Male,Hyderabad,Sports,Samsung,18041.31,1,25,4510.33,13530.98,Card,Tablet - Android,27-07-2025,Low
5034,2034,51,Female,Hyderabad,Sports,Sony,45906.53,4,15,6885.98,156082.2,UPI,Laptop - Windows,10-11-2025,High
5035,2035,39,Male,Bangalore,Sports,Adidas,75660.73,2,15,11349.11,128623.24,COD,Laptop - Mac,20-06-2025,High
5036,2036,48,Female,Chennai,Electronics,Nike,4506.4,4,0,0,18025.6,UPI,Mobile - Android,26-08-2025,Low
5037,2037,45,Male,Pune,Electronics,Samsung,66505.82,3,15,9975.87,169589.85,COD,Mobile - Android,10-07-2025,High
5038,2038,52,Male,Pune,Beauty,Zara,28976.91,2,10,2897.69,52158.44,Card,Tablet - iPad,22-05-2025,High
5039,2039,51,Female,Bangalore,Beauty,Nike,28209.95,4,40,11283.98,67703.88,UPI,Laptop - Mac,25-06-2025,High
5040,2040,30,Male,Mumbai,Home,Puma,29891.53,3,25,7472.88,67255.95,UPI,Laptop - Mac,27-04-2025,High
5041,2041,58,Male,Pune,Electronics,Sony,48700.81,3,5,2435.04,138797.31,Card,Tablet - iPad,05-06-2025,High
5042,2042,21,Female,Pune,Sports,Puma,12290.61,2,15,1843.59,20894.04,COD,Tablet - iPad,02-02-2025,Medium
5043,2043,60,Female,Bangalore,Beauty,Boat,73493.6,4,40,29397.44,176384.64,COD,Laptop - Windows,14-12-2025,High
5044,2044,23,Male,Delhi,Beauty,Puma,30746.99,1,0,0,30746.99,Card,Tablet - iPad,28-11-2025,Medium
5045,2045,18,Male,Delhi,Beauty,Samsung,57495.98,1,20,11499.2,45996.78,COD,Laptop - Mac,27-10-2025,Medium
5046,2046,29,Female,Hyderabad,Beauty,Samsung,78506.77,3,5,3925.34,223744.29,UPI,Mobile - Android,10-09-2025,High
5047,2047,52,Male,Bangalore,Electronics,Boat,48786.89,5,15,7318.03,207344.3,COD,Mobile - iOS,07-08-2025,High
5048,2048,28,Female,Delhi,Sports,Puma,66552.7,3,30,19965.81,139760.67,Card,Laptop - Windows,09-05-2025,High
5049,2049,40,Female,Delhi,Beauty,Boat,17490.49,4,20,3498.1,55969.56,Card,Tablet - iPad,13-05-2025,High
5050,2050,31,Female,Chennai,Electronics,Boat,8736.57,5,10,873.66,39314.55,Card,Mobile - iOS,06-10-2025,Medium
5051,2051,36,Female,Delhi,Home,Apple,31391.13,2,25,7847.78,47086.7,COD,Tablet - Android,13-03-2025,Medium
5052,2052,54,Male,Pune,Home,Adidas,27432.09,4,20,5486.42,87782.68,Card,Tablet - Android,12-06-2025,High
5053,2053,33,Female,Hyderabad,Sports,Zara,9317.88,5,15,1397.68,39601,Card,Mobile - iOS,09-09-2025,Medium
5054,2054,61,Female,Mumbai,Clothing,Apple,40283.02,2,15,6042.45,68481.14,UPI,Laptop - Mac,04-03-2025,High
5055,2055,45,Female,Bangalore,Beauty,Sony,61257.44,5,5,3062.87,290972.85,UPI,Laptop - Mac,25-11-2025,High
5056,2056,62,Male,Mumbai,Home,Puma,17719.58,4,40,7087.83,42527,UPI,Laptop - Mac,05-08-2025,Medium
5057,2057,48,Female,Pune,Electronics,Zara,28912.17,3,0,0,86736.51,COD,Tablet - iPad,15-01-2025,High
